"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
G185E-7828	"3-[(3a<i>S</i>,4<i>S</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA ligase &alpha; subunit"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"growth of symbiont in host" // "metabolic process"	"cytosol"	"transferase activity" // "CoA-transferase activity"
G185E-7829	"3-[(3a<i>S</i>,4<i>S</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA ligase &beta; subunit"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"growth of symbiont in host" // "metabolic process"	"cytosol"	"CoA-transferase activity" // "transferase activity"
G185E-7832	"conserved protein"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7834	"transcriptional regulatory protein (probably TetR-family)"	"UNCLASSIFIED"	""	"regulation of fatty acid metabolic process" // "regulation of gene expression" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	""	"protein homodimerization activity" // "DNA-binding transcription factor activity" // "DNA binding"
G185E-7844	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7850	"unknown protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7853	"transcriptional regulatory protein (probably LacI-family)"	"UNCLASSIFIED"	""	"regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol"	"DNA binding"
G185E-7855	"conserved hypothetical protein"	|ORFs|	""	""	"plasma membrane"	""
G185E-7857	"possible tRNA/rRNA methyltransferase"	"UNCLASSIFIED"	""	"growth" // "methylation" // "RNA processing" // "enzyme-directed rRNA 2'-O-methylation"	"cytosol"	"rRNA (guanosine-2'-O-)-methyltransferase activity" // "transferase activity" // "RNA methyltransferase activity" // "methyltransferase activity" // "RNA binding"
G185E-7861	"possible transcription factor"	"UNCLASSIFIED"	""	"regulation of growth rate" // "growth" // "stringent response" // "pathogenesis"	"cytosol"	"protein binding"
G185E-7865	"probable conserved membrane protein"	"UNCLASSIFIED"	""	""	"outer membrane-bounded periplasmic space" // "integral component of membrane" // "membrane" // "extracellular region"	""
G185E-7869	"possible hydrolase"	"UNCLASSIFIED"	""	""	""	"hydrolase activity"
G185E-7872	"conserved hypothetical protein"	|ORFs|	""	"peptidoglycan catabolic process"	"cytosol"	"N-acetylmuramoyl-L-alanine amidase activity"
G185E-7878	"hypothetical short protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7882	"conserved hypothetical alanine and leucine rich protein"	"UNCLASSIFIED"	""	"oxidation-reduction process"	""	""
G185E-7883	"probable conserved transmembrane protein rich in alanine and arginine and proline"	"UNCLASSIFIED"	""	"growth"	"integral component of membrane" // "membrane" // "plasma membrane"	""
G185E-7884	"probable conserved secreted protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7890	"hypothetical arginine and proline rich protein"	"UNCLASSIFIED"	""	"growth"	""	""
G185E-7891	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7892	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7897	"possible monooxygenase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" // "monooxygenase activity"
G185E-7905	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7906	"conserved protein"	"UNCLASSIFIED"	""	"cell wall organization" // "growth" // "proteolysis"	"extracellular region"	"hydrolase activity" // "peptidase activity" // "carboxypeptidase activity" // "serine-type carboxypeptidase activity"
G185E-7908	"probable conserved integral membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
G185E-7909	"probable conserved integral membrane protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane" // "extracellular region"	""
G185E-7910	"possible transferase (possibly glycosyltransferase)"	"UNCLASSIFIED"	""	"galactolipid biosynthetic process"	"plasma membrane" // "cytosol"	"transferase activity"
G185E-7911	"possible conserved membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7912	"conserved protein"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane"	""
G185E-7914	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7915	"possible transposase"	"UNCLASSIFIED"	""	""	""	""
G185E-7916	"possible transposase"	"UNCLASSIFIED"	""	""	""	"nucleic acid binding"
G185E-7917	"possible transposase"	"UNCLASSIFIED"	""	"DNA replication" // "DNA strand elongation involved in DNA replication"	"cytoplasm" // "cytosol"	"ATP binding"
G185E-7918	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7919	"probable transposase"	"UNCLASSIFIED"	""	"transposition" // "DNA recombination" // "transposition, DNA-mediated"	"cytosol" // "plasma membrane"	"transposase activity" // "DNA binding"
G185E-7921	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7922	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7924	"possible DNA polymerase"	"UNCLASSIFIED"	""	"nucleic acid phosphodiester bond hydrolysis" // "DNA biosynthetic process" // "DNA-dependent DNA replication" // "DNA replication"	"cytosol"	"3'-5' exonuclease activity" // "DNA-directed DNA polymerase activity" // "DNA binding"
G185E-7925	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	"cAMP biosynthetic process" // "intracellular signal transduction" // "cyclic nucleotide biosynthetic process" // "signal transduction"	"integral component of membrane" // "membrane" // "plasma membrane" // "intracellular"	"phosphorus-oxygen lyase activity"
G185E-7927	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7929	"probable helicase"	"UNCLASSIFIED"	""	"nucleotide-excision repair" // "RNA secondary structure unwinding"	"nucleus" // "cytoplasm" // "cytosol" // "plasma membrane"	"RNA binding" // "ATP binding" // "helicase activity" // "RNA helicase activity" // "nucleic acid binding"
G185E-7931	"triple sensor-domain protein"	|ORFs|	""	""	"cytosol"	""
"Rv3654c"	"Apoptosis inhibitor Rv3654c"	|ORFs|	""	"pathogenesis" // "negative regulation by symbiont of host apoptotic process"	"host cell cytoplasm" // "extracellular region"	""
"Rv3655c"	"Apoptosis inhibitor Rv3655c"	|ORFs|	""	"pathogenesis" // "negative regulation by symbiont of host apoptotic process"	"host cell cytoplasm" // "extracellular region"	""
G185E-7937	"conserved hypothetical protein"	|ORFs|	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7938	"possible conserved alanine rich membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7939	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"ATPase-coupled transmembrane transporter activity" // "ATP binding"
"Rv3659c"	"Putative conjugal transfer protein Rv3659c"	|ORFs|	""	"conjugation"	"plasma membrane" // "cytosol" // "cytoplasm"	"ATPase activity" // "ATP binding" // "nucleotide binding"
G185E-7941	"conserved hypothetical protein"	|ORFs|	""	"negative regulation of cell division" // "growth"	"cytoplasmic side of plasma membrane" // "plasma membrane" // "cytosol"	"ATPase activity" // "ATP binding"
"Rv3661"	"Probable phosphatase Rv3661"	|ORFs|	""	"dephosphorylation" // "L-serine biosynthetic process"	"cytoplasm" // "integral component of membrane" // "membrane" // "plasma membrane" // "cytosol"	"phosphatase activity" // "phosphoserine phosphatase activity" // "magnesium ion binding" // "metal ion binding" // "hydrolase activity"
G185E-7945	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7951	"possible protease"	"UNCLASSIFIED"	""	"proteolysis"	""	"peptidase activity"
G185E-7952	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	"growth"	"plasma membrane" // "integral component of membrane" // "membrane" // "integral component of plasma membrane"	""
G185E-7954	"membrane-associated serine protease"	"UNCLASSIFIED"	""	"response to acidic pH" // "pathogenesis" // "toxin biosynthetic process" // "proteolysis" // "response to acid chemical"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane" // "cell wall" // "extracellular region"	"hydrolase activity" // "peptidase activity" // "serine-type endopeptidase activity"
G185E-7955	"conserved hypothetical protein"	|ORFs|	""	"nucleoside diphosphate metabolic process"	"plasma membrane"	"manganese ion binding" // "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" // "hydrolase activity" // "magnesium ion binding"
G185E-7956	"possible membrane-anchored thioredoxin-like protein (thiol-disulfide interchange related protein)"	"UNCLASSIFIED"	""	"cellular oxidant detoxification" // "oxidation-reduction process" // "cell redox homeostasis" // "cellular response to oxidative stress" // "glycerol ether metabolic process"	"cell" // "cytosol" // "integral component of membrane" // "membrane"	"protein-disulfide reductase activity" // "thioredoxin-disulfide reductase activity" // "oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor" // "oxidoreductase activity" // "antioxidant activity" // "protein disulfide oxidoreductase activity"
G185E-7958	"possible membrane protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7960	"possible hydrolase"	"UNCLASSIFIED"	""	""	"cytosol"	"hydrolase activity"
G185E-7962	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7961	"conserved protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7963	"probable anion transporter ATPase"	"transport" // "UNCLASSIFIED"	""	"growth"	"cytosol" // "plasma membrane"	"ATPase activity" // "ATP binding" // "nucleotide binding"
G185E-7964	"probable anion transporter ATPase"	"transport" // "UNCLASSIFIED"	""	""	""	"ATPase activity" // "ATP binding"
G185E-7967	"conserved protein"	"UNCLASSIFIED"	""	"lipid A biosynthetic process"	""	"UDP-2,3-diacylglucosamine hydrolase activity" // "metal ion binding" // "hydrolase activity"
G185E-7968	"probable lyase"	"UNCLASSIFIED"	""	"cysteine biosynthetic process from serine"	"cytoplasm" // "plasma membrane" // "cytosol"	"cysteine synthase activity" // "pyridoxal phosphate binding" // "lyase activity"
G185E-7971	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7973	"conserved protein"	"UNCLASSIFIED"	""	""	"cytosol"	"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"
G185E-7974	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7975	"probable conserved membrane protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "cell wall"	""
"Rv3691"	"Uncharacterized membrane protein Rv3691"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
G185E-7978	"possible conserved membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "cytosol"	""
G185E-7979	"possible conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane"	""
G185E-7980	"possible conserved membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7984	"conserved protein"	"UNCLASSIFIED"	""	""	"cytosol"	"catalytic activity"
G185E-7985	"conserved protein"	"UNCLASSIFIED"	""	"methylation"	"cytoplasm" // "cytosol" // "cell wall"	"S-adenosylmethionine-dependent methyltransferase activity"
G185E-7992	"conserved hypothetical proline rich protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7991	"conserved protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7993	"conserved hypothetical proline rich protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane"	""
G185E-7994	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7999	"possible ligase"	"UNCLASSIFIED"	""	"biosynthetic process"	"cytosol"	"ligase activity" // "ATP binding"
G185E-8001	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol" // "plasma membrane"	""
G185E-8003	"nucleoid-associated protein Rv3716c"	"UNCLASSIFIED"	""	""	"bacterial nucleoid" // "cytosol" // "nucleoid" // "plasma membrane" // "cytoplasm"	"DNA binding"
G185E-8004	"<i>N</i>-acetylmuramoyl-L-alanine amidase Rv3717"	|ORFs|	""	"entry into host cell" // "cell wall organization" // "cell wall macromolecule catabolic process" // "peptidoglycan catabolic process"	"periplasmic space" // "outer membrane-bounded periplasmic space"	"zinc ion binding" // "metal ion binding" // "hydrolase activity" // "N-acetylmuramoyl-L-alanine amidase activity"
G185E-8005	"conserved protein"	"UNCLASSIFIED"	""	""	""	""
G185E-8006	"conserved protein"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"plasma membrane"	"FAD binding" // "flavin adenine dinucleotide binding" // "oxidoreductase activity, acting on CH-OH group of donors" // "oxidoreductase activity" // "catalytic activity"
G185E-8007	"possible fatty acid synthase"	"UNCLASSIFIED"	""	"methylation" // "lipid biosynthetic process" // "lipid metabolic process"	"cytosol" // "plasma membrane" // "cell wall"	"transferase activity" // "methyltransferase activity"
G185E-8009	"conserved protein"	"UNCLASSIFIED"	""	"growth"	"extracellular region"	"catalytic activity"
G185E-8012	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	"pathogenesis"	"plasma membrane" // "integral component of membrane" // "membrane" // "integral component of plasma membrane"	""
G185E-8015	"possible oxidoreductase"	"UNCLASSIFIED"	""	"GDP-L-fucose biosynthetic process"	"cytosol" // "cell wall" // "extracellular region"	"GDP-L-fucose synthase activity" // "coenzyme binding" // "catalytic activity"
G185E-8016	"possible dehydrogenase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol" // "plasma membrane"	""
G185E-8017	"possible oxidoreductase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"plasma membrane"	"oxidoreductase activity"
G185E-8018	"probable conserved two-domain membrane protein"	"UNCLASSIFIED"	""	"lipid catabolic process" // "transmembrane transport" // "metabolic process" // "lipid metabolic process"	"integral component of membrane" // "membrane" // "plasma membrane"	"transmembrane transporter activity" // "hydrolase activity" // "transporter activity"
G185E-8019	"possible transferase"	"UNCLASSIFIED"	""	"methylation"	"cytosol"	"methyltransferase activity" // "iron-sulfur cluster binding" // "transferase activity" // "catalytic activity"
G185E-8020	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-8022	"conserved protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "integral component of plasma membrane"	""
G185E-8023	"conserved hypothetical protein"	|ORFs|	""	""	""	"hydrolase activity"
G185E-8025	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-8026	"transcriptional regulatory protein (probably AraC/XylS-family)"	"UNCLASSIFIED"	""	"lactate biosynthetic process" // "methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol" // "extracellular region"	"glyoxalase III activity" // "sequence-specific DNA binding" // "DNA-binding transcription factor activity" // "DNA binding"
